order,url,name_cn,date,score,total_votes,cover_large,tags,characters
1,https://bgm.tv/subject/328609,孤独摇滚！,2022-10-08,8.4,39662,https://lain.bgm.tv/pic/cover/l/e2/e7/328609_2EHLJ.jpg,芳文社;音乐;轻百合;CloverWorks;日常;漫画改;乐队题材;2022年10月;搞笑;TV;百合;2022;斎藤圭一郎;漫改;乐队;日本;梅原翔太;校园;斋藤圭一郎;青春;治愈;神作;萌;孤独摇滚;社恐;少女乐队;轻百;摇滚;2022年;成长,后藤一里;伊地知虹夏;山田凉;喜多郁代;广井菊里;后藤直树;后藤美智代;后藤二里;吉米亨;伊地知星歌;音响师;清水伊莱莎
2,https://bgm.tv/subject/10380,命运石之门,2011-04-06,8.8,39500,https://lain.bgm.tv/pic/cover/l/a9/79/10380_YwP4R.jpg,科幻;中二病;牧瀬紅莉栖;嘟嘟噜;空想科学;游戏改;2011年4月;TV;花泽香菜;Nitro+;2011;悬疑;宫野真守;Steins;WHITEFOX;Gate;神作;GAL改;命运石之门;日本;轮回;花澤香菜;穿越;恋爱;佐藤卓哉;huke;中二;剧情;花田十辉;浜崎博嗣,冈部伦太郎;椎名真由理;桥田至;牧濑红莉栖;阿万音铃羽;桐生萌郁;漆原琉华;菲利斯·喵喵;天王寺裕吾;天王寺绹;中钵;漆原荣辅
3,https://bgm.tv/subject/9717,魔法少女小圆,2011-01-06,8.6,37952,https://lain.bgm.tv/pic/cover/l/cb/57/9717_sAVag.jpg,虚渊玄;新房昭之;魔法少女;致郁;梶浦由紀;原创;SHAFT;2011年1月;治愈;TV;爱的战士虚渊玄;百合;猎奇;2011;战斗;悠木碧;日本;奇幻;强力STAFF;神作;魔法少女小圆;斎藤千和;蒼樹うめ;梶浦由记;轮回;违和感;剧情;魔法;2011年;虚淵玄,鹿目圆;晓美焰;美树沙耶香;巴麻美;佐仓杏子;丘比;上条恭介;志筑仁美;鹿目询子;鹿目知久;鹿目达也;早乙女和子
4,https://bgm.tv/subject/160209,你的名字。,2016-08-26,8.1,33932,https://lain.bgm.tv/pic/cover/l/20/15/160209_2UzU8.jpg,新海誠;剧场版;恋爱;原创;2016;新海诚;奇幻;动画电影;君の名は。;CoMixWave;2016年8月;君の名は;你的名字。;日本;田中将贺;治愈;你的名字;青春;2016年;穿越;CoMixWaveFilms;校园;催泪;电影;爱情;神作;radwimps;安藤雅司;纯爱;映画,立花泷;宫水三叶;奥寺美纪;宫水一叶;敕使河原克彦;名取早耶香;藤井司;高木真太;宫水四叶;宮水俊樹;雪野百香里;路人
5,https://bgm.tv/subject/265,新世纪福音战士,1995-10-04,8.7,33623,https://lain.bgm.tv/pic/cover/l/e5/69/265_Z5Uou.jpg,EVA;庵野秀明;GAINAX;新世纪福音战士;科幻;神作;TV;宗教;心理;原创;1995;骗钱神棍片的王者;机战;补完;凌波;Evangelion;日本;圣经;战斗;1995年10月;萝卜;神棍;意识流;经典;贞本义行;龙之子Production;明日香;1995年;生命中的哀伤与回忆;童年,碇真嗣;绫波零;惣流·明日香·兰格雷;葛城美里;伊吹摩耶;加持良治;冬月耕造;相田剑介;洞木光;日向诚;青叶茂;碇唯
6,https://bgm.tv/subject/400602,葬送的芙莉莲,2023-09-29,8.5,35139,https://lain.bgm.tv/pic/cover/l/13/c5/400602_ZI8Y9.jpg,治愈;公路片;奇幻;MADHouse;漫画改;2023年10月;旅行;寿命论;斋藤圭一郎;TV;异世界;2023;漫改;催泪;日本;战斗;斎藤圭一郎;冒险;日常;神作;公路;魔法;葬送的芙莉莲;恋爱;搞笑;2023年;半年番;2024;鈴木智尋;种崎敦美,芙莉莲;菲伦;修塔尔克;辛美尔;海塔;艾森;赞因;伏拉梅;古瓦尔;阿乌拉;古拉纳特伯爵;琉古纳
7,https://bgm.tv/subject/55770,进击的巨人,2013-04-06,8.2,30797,https://lain.bgm.tv/pic/cover/l/78/c9/55770_HsJfh.jpg,进击的巨人;热血;泽野弘之;漫画改;2013年4月;WITSTUDIO;战斗;TV;Production.I.G;2013;漫改;荒木哲郎;奇幻;梶裕贵;日本;神谷浩史;神作;ProductionI.G;猎奇;燃;剧情;孝哥;谏山创;2013年;2013春;小林靖子;战争;WIT_STUDIO;悬疑;井上麻里奈,艾伦·耶格尔;三笠·阿克曼;阿明·阿诺德;利威尔;让·基尔休坦;克里斯塔·连兹;柯尼·史普林格;马可·波特;莱纳·布朗;韩吉·佐伊;卡尔菈·耶格尔;雷恩哈特
8,https://bgm.tv/subject/27364,冰菓,2012-04-22,8.2,32646,https://lain.bgm.tv/pic/cover/l/cd/38/27364_1ZFmr.jpg,京阿尼;校园;氷菓;青春;推理;推理系;2012年4月;TV;小清新;2012;悬疑;小说改;京都动画;中村悠一;京都;温情;恋爱;轻小说改;武本康弘;日常;日本;轻改;京都アニメーション;治愈;四月番;神作;米泽穗信;冰菓;2012年;田中公平,折木奉太郎;千反田爱瑠;福部里志;伊原摩耶花;远垣内将司;折木供惠;糸鱼川养子;入须冬实;江波仓子;善名梨绘;善名嘉代;中城顺载
9,https://bgm.tv/subject/1424,轻音少女,2009-04-02,8.3,30028,https://lain.bgm.tv/pic/cover/l/48/9d/1424_q8FMQ.jpg,京阿尼;K-ON!;校园;轻音;萌;治愈;日常;2009年4月;TV;废萌;漫画改;2009;卖萌;音乐;京都;京都动画;山田尚子;百合;漫改;日本;芳文社;k-on;乐队;轻百合;青春;mio;2009年4月番;京都アニメーション;吐槽;吉田玲子,平泽唯;秋山澪;田井中律;琴吹紬;中野梓;放学后TEA TIME;けいおん部;山中佐和子;平泽忧;真锅和;铃木纯;DEATH DEVIL
10,https://bgm.tv/subject/10639,Fate/Zero,2011-10-01,8.1,30679,https://lain.bgm.tv/pic/cover/l/86/1f/10639_w4sHs.jpg,Fate;虚渊玄;Type-Moon;ufotable;第四次圣杯战争;2011年10月;TV;战斗;Saber;奈绪蘑菇;奇幻;2011;前传;梶浦;小说改;老爸和他的基友;轻小说改;zero;日本;热血;三王;轻改;青木英;梶浦由记;蘑菇;游戏改;神作;金闪闪;梶浦由記;あおきえい,卫宫切嗣;阿尔托莉雅·潘德拉贡;爱丽丝菲尔·冯·爱因兹贝伦;远坂时臣;吉尔伽美什;言峰绮礼;百貌的哈桑;肯尼斯·艾尔梅洛伊·阿奇博尔德;迪尔姆德·奥迪那;韦伯·维尔维特;伊斯坎达尔;雨生龍之介
11,https://bgm.tv/subject/248175,辉夜大小姐想让我告白～天才们的恋爱头脑战～,2019-01-12,7.8,27184,https://lain.bgm.tv/pic/cover/l/2a/f7/248175_2w4zT.jpg,恋爱;搞笑;A-1Pictures;校园;漫画改;2019年1月;TV;日常;漫改;2019;狗粮;赤坂アカ;吔我狗粮啦;日本;畠山守;小俣真一;辉夜大小姐想让我告白;青春;喜剧;赤坂明;2019年;智斗;恋爱喜剧;古川慎;傲娇;小原好美;纯爱;中西やすひろ;辉夜大小姐;古贺葵,四宫辉夜;白银御行;藤原千花;石上优;早坂爱;柏木渚;田沼翼;白银圭;白银的父亲;四条真妃;阿道夫·佩斯卡罗洛;贝尔托瓦茨·贝奇
12,https://bgm.tv/subject/428735,BanG Dream! It's MyGO!!!!!,2023-06-29,8,30913,https://lain.bgm.tv/pic/cover/l/e7/a7/428735_1v11n.jpg,BanGDream;原创;音乐;百合;扭曲;2023年7月;偶像;乐队;TV;3D;2023;SANZIGEN;羊宮妃那;日本;柿本広大;三次元;无法预测的命运之舞台;校园;轻百合;青春;綾奈ゆにこ;少女乐队;柿本广大;MYGO;日常;乐队题材;2023年;轻百;神作;サンジゲン,高松灯;千早爱音;要乐奈;长崎爽世;椎名立希;MyGO!!!!!;丰川祥子;若叶睦;三角初华;八幡海铃;祐天寺若麦;纯田真奈
13,https://bgm.tv/subject/876,CLANNAD 〜AFTER STORY〜,2008-10-02,9.2,30943,https://lain.bgm.tv/pic/cover/l/67/d1/876_dCfrd.jpg,Clannad;京阿尼;key;催泪;神作;麻枝准;治愈;人生;TV;~After-Story~;治愈系;游戏改;2008年10月;恋爱;galgame;爱情;催淚;2008;GAL改;日常;日本;石原立也;京都动画;校园;亲情;京都;AS;京都アニメーション;2008年;续作,冈崎朋也;古河渚;冈崎汐;古河早苗;古河秋生;冈崎直幸;芳野佑介;幻想世界的少女;藤林杏;藤林椋;坂上智代;一之濑琴美
14,https://bgm.tv/subject/311,千与千寻,2001-07-20,8.6,26933,https://lain.bgm.tv/pic/cover/l/9d/fc/311_GAg3x.jpg,宫崎骏;吉卜力;剧场版;久石让;奇幻;2001;千と千尋の神隠し;千与千寻;原创;治愈;宮崎駿;白龙;无面人;日本;环保系;动画电影;千与千寻的神隐;神作;童年;经典;猪;电影;2001年7月;2001年;GHIBLI;成长;スタジオジブリ;冒险;入野自由;映画,荻野千寻;白;小玲;钱婆;汤婆婆;坊宝宝;锅炉爷爷;无脸男;前台蛙;荻野悠子;荻野明夫;煤球精灵
15,https://bgm.tv/subject/29648,中二病也要谈恋爱！,2012-10-03,7.4,25862,https://lain.bgm.tv/pic/cover/l/3d/fd/29648_LOcOx.jpg,京阿尼;恋爱;中二病也要谈恋爱;搞笑;校园;轻小说改;2012年10月;中二;TV;2012;京都动画;中二病;福山润;小说改;轻改;石原立也;花泽香菜;日常;日本;青春;治愈;花田十辉;我只能呵呵;京都;京都アニメーション;内田真礼;萌;2012十月番;2012年;纯爱,富樫勇太;小鸟游六花;丹生谷森夏;五月七日枯茗;凸守早苗;奇美拉;勇太的母亲;富樫樟叶;富樫梦叶;一色诚;九十九七濑;小鸟游十花
16,https://bgm.tv/subject/909,龙与虎,2008-10-01,8,27326,https://lain.bgm.tv/pic/cover/l/a4/30/909_e5zhk.jpg,钉宫理惠;校园;龙与虎;J.C.STAFF;恋爱;青春;轻小说改;2008年10月;萌虎;TV;掌中老虎;2008;蹭得累;萌;轻小说;小说改;轻改;电击文库;日本;长井龙雪;日常;傲娇;治愈;長井龍雪;钉宫;冈田麿里;搞笑;岡田麿里;堀江由衣,高须龙儿;逢坂大河;栉枝实乃梨;川岛亚美;北村佑作;高须泰子;小鹦;恋洼百合;狩野堇;春田浩次;能登久光;木原麻耶
17,https://bgm.tv/subject/51,CLANNAD,2007-10-04,8.4,27831,https://lain.bgm.tv/pic/cover/l/28/38/51_z0Ly8.jpg,Clannad;京阿尼;key;催泪;団子大家族;治愈;神作;GAL改;人生;TV;2007年10月;游戏改;校园;2007;恋爱;麻枝准;京都;石原立也;京都动画;日本;日常;海星;改编自游戏;京都アニメーション;中村悠一;2007年10月番;后宫;galgame;搞笑;志茂文彦,冈崎朋也;古河渚;伊吹风子;一之濑琴美;藤林杏;坂上智代;藤林椋;春原阳平;宫泽有纪宁;相乐美佐枝;春原芽衣;古河秋生
