rank,source_page,source_page_start,subject_id,subject_url,title,cover_url,abstract,abstract_2,rating,rating_count,star_count,labels,is_tv,tpl_name,search_url,parse_source
1,1,0,1291560,https://movie.douban.com/subject/1291560/,龙猫 となりのトトロ‎ (1988),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.webp,日本 / 动画 / 奇幻 / 冒险 / 邻居托托罗 / 邻家的豆豆龙 / 86分钟,宫崎骏 / 日高范子 / 坂本千夏 / 糸井重里 / 岛本须美 / 北林谷荣 / 高木均 / 雨笠利幸 / 丸山裕子,9.2,1415036,4.5,[],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
2,1,0,1301753,https://movie.douban.com/subject/1301753/,狮子王 The Lion King‎ (1994),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.webp,美国 / 动画 / 冒险 / 歌舞 / 狮子王3D / 89分钟,罗杰·阿勒斯 / 罗伯·明可夫 / 乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 / 詹姆斯·厄尔·琼斯 / 莫伊拉·凯利 / 内森·连恩 / 尼基塔·卡兰姆 / 埃林·萨贝拉,9.1,964494,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
3,1,0,26709258,https://movie.douban.com/subject/26709258/,罗小黑战记 (2019),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568288336.webp,中国大陆 / 动作 / 动画 / 奇幻 / 罗小黑战记大电影 / The Legend of Hei / 羅小黒戦記 ぼくが選ぶ未来 / 101分钟,木头 / 山新 / 郝祥海 / 刘明月 / 曹云图 / 叮当 / 图特哈蒙,8.0,637394,4.0,['可播放'],False,search_subject,https://www.douban.com/search?cat=1002&q=%E7%BD%97%E5%B0%8F%E9%BB%91%E6%88%98%E8%AE%B0,playwright
4,1,0,1418019,https://movie.douban.com/subject/1418019/,大闹天宫‎ (1961),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.webp,中国大陆 / 剧情 / 动画 / 奇幻 / 古装 / 大闹天宫 上下集 / The Monkey King / 113分钟,万籁鸣 / 邱岳峰 / 富润生 / 毕克 / 尚华 / 于鼎 / 李梓 / 刘广宁,9.4,512060,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
5,1,0,3227335,https://movie.douban.com/subject/3227335/,仙剑奇侠传三 (2009),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561696294.webp,中国大陆 / 爱情 / 奇幻 / 武侠 / 古装 / 仙剑奇侠传3 / Chinese Paladin 3 / Sword and Fairy 3,李国立 / 胡歌 / 霍建华 / 杨幂 / 唐嫣 / 刘诗诗 / 林子聪,9.0,472631,4.5,"['剧集', '可播放']",True,search_subject,https://www.douban.com/search?cat=1002&q=%E4%BB%99%E5%89%91%E5%A5%87%E4%BE%A0%E4%BC%A03,playwright
6,2,15,26835471,https://movie.douban.com/subject/26835471/,大侦探皮卡丘 Pokémon Detective Pikachu‎ (2019),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2909216683.webp,美国 / 日本 / 英国 / 加拿大 / 喜剧 / 动画 / 奇幻 / 冒险 / 精灵宝可梦：大侦探皮卡丘 / POKÉMON 名侦探皮卡丘(台) / 104分钟,罗伯·莱特曼 / 瑞安·雷诺兹 / 贾斯蒂斯·史密斯 / 凯瑟琳·纽顿 / 克里斯·吉尔 / 比尔·奈伊 / 渡边谦 / 瑞塔·奥拉 / 苏琪·沃特豪斯,6.4,391296,3,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
7,1,0,26884354,https://movie.douban.com/subject/26884354/,狮子王 The Lion King‎ (2019),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549283092.webp,美国 / 剧情 / 动画 / 冒险 / 狮子王真狮版 / 狮子王真实版 / 118分钟,乔恩·费儒 / 唐纳德·格洛弗 / 阿尔法·伍达德 / 詹姆斯·厄尔·琼斯 / 切瓦特·埃加福 / 科甘-迈克尔·凯 / 塞斯·罗根 / 比利·艾希纳 / 碧昂丝,7.2,383019,3.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
8,1,0,6850547,https://movie.douban.com/subject/6850547/,玩具总动员4 Toy Story 4‎ (2019),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551222752.webp,美国 / 喜剧 / 动画 / 奇幻 / 反斗奇兵4(港) / 100分钟,乔什·库雷 / 汤姆·汉克斯 / 蒂姆·艾伦 / 安妮·波茨 / 托尼·海尔 / 科甘-迈克尔·凯 / 玛德琳·麦格劳 / 克里斯蒂娜·亨德里克斯 / 乔丹·皮尔,8.5,377180,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
9,1,0,1428581,https://movie.douban.com/subject/1428581/,天书奇谭‎ (1983),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.webp,中国大陆 / 动画 / 奇幻 / 天书奇谭4K纪念版 / The Legend of Sealed Book / 89分钟,王树忱 / 钱运达 / 丁建华 / 毕克 / 苏秀 / 程晓桦 / 施融 / 于鼎 / 杨成纯 / 孙渝烽,9.2,338433,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
10,1,0,35315950,https://movie.douban.com/subject/35315950/,灌篮高手 (2022),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2910235168.webp,日本 / 动画 / 运动 / 灌篮高手电影版 / 灌篮高手：THE FIRST / Slam Dunk / スラムダンク / 124分钟,井上雄彦 / 仲村宗悟 / 笠间淳 / 木村昴 / 神尾晋一郎 / 三宅健太 / 岩崎谅太,8.9,330080,4.5,[],False,search_subject,https://www.douban.com/search?cat=1002&q=%E7%81%8C%E7%AF%AE%E9%AB%98%E6%89%8B,playwright
