rank,source_page,source_page_start,subject_id,title,rating,rating_count,star_count,labels,is_tv,abstract,abstract_2,cover_url,subject_url,search_url,parse_source,tpl_name
1,1,0,3204594,虹猫蓝兔七侠传‎ (2006),9.6,140242,5.0,"['剧集', '可播放']",True,中国大陆 / 剧情 / 儿童 / 动作 / 动画 / 冒险 / 武侠 / The story of hongmao and lantu / 15分钟,王宏 / 罗沐 / 许龙 / 徐艳娜 / 江莉 / 艾慕华 / 张建和 / 周韧峰 / 颜雷鸣 / 赵玉碧 / 朱海燕 / 付以琳 / 晏婷 / 刘蓉 / 刘娟 / 肖睿 / 张怀武 / 袁文君 / 廖新星,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2307667150.webp,https://movie.douban.com/subject/3204594/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
2,1,0,3012377,神兵小将‎ (2009),8.9,42125,4.5,['可播放'],False,中国大陆 / 动画 / 奇幻 / SHENBING KIDS / 神兵小将：电影版 / 95分钟,黄玉郎 / 方锦历 / 乔彧 / 杨青倩 / 谢楠 / 常索妮 / 胡静 / 杨莹,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1597570216.webp,https://movie.douban.com/subject/3012377/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
3,1,0,3713659,铁甲小宝 ビーロボカブタック‎ (1997),8.8,45917,4.5,"['剧集', '可播放']",True,日本 / 剧情 / 铁甲小宝—卡布达 / B-Robo Kabutack / 22分钟,坂本太郎 / 渡边胜也 / 石田秀范 / 岩原直树 / 诸田敏 / 二见一树 / 木村雅 / 小出由华 / 石井洋祐 / 向井亚纪 / 井上碧 / 石井宁 / 国分佐智子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2908574802.webp,https://movie.douban.com/subject/3713659/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
4,1,0,4321270,猫和老鼠 Tom and Jerry‎ (1965),9.8,207513,5.0,"['剧集', '可播放']",True,美国 / 喜剧 / 动画 / 家庭 / 妙妙妙 / 汤姆猫与杰米鼠 / 30分钟,约瑟夫·巴伯拉 / 威廉·汉纳 / 特克斯·艾弗里 / 迈克尔·拉赫 / 道斯·巴特勒 / 里德·科菲,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554009820.webp,https://movie.douban.com/subject/4321270/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
5,1,0,2264567,迪迦奥特曼 ウルトラマンティガ‎ (1996),9.6,114753,5.0,"['剧集', '可播放']",True,日本 / 动作 / 冒险 / 奇幻 / 科幻 / 超人迪加 / 迪迦·奥特曼 / 30分钟,松原信吾 / 村石宏实 / 川崎乡太 / 冈田宁 / 神泽信一 / 北浦嗣巳 / 原田昌树 / 石井辉仪 / 实相寺昭雄 / 满田穧 / 长野博 / 吉本多香美 / 高树澪 / 大泷明利 / 影丸茂樹 / 增田由纪夫 / 古屋畅一 / 川地民夫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533388717.webp,https://movie.douban.com/subject/2264567/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
6,1,0,2244765,中华小子‎ (2006),9.6,63082,5.0,"['剧集', '可播放']",True,法国 / 中国大陆 / 儿童 / 喜剧 / 动作 / 动画 / 冒险 / 武侠 / Shaolin Wuzang / 24分钟,张天晓 / 周磊 / 黄怡晴 / 徐刚 / 刘强 / 王肖兵 / 游军 / 王衡 / 王勇 / 李敏妍,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2570091648.webp,https://movie.douban.com/subject/2244765/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
7,1,0,11808948,海绵宝宝 The SpongeBob Movie: Sponge Out of Water‎ (2015),7.7,54176,4.0,['可播放'],False,美国 / 喜剧 / 动画 / 冒险 / 海绵宝宝：脱水大冒险(港) / 海绵宝宝：海陆大出击(台) / 93分钟,保罗·提比特 / 迈克·米切尔 / 安东尼奥·班德拉斯 / 艾瑞克·鲍扎 / 蒂姆·康威 / 埃迪·狄森 / 罗伯·鲍森 / 凯文·迈克尔·理查德森 / 艾普尔·斯图瓦特 / 克里·萨莫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2282934200.webp,https://movie.douban.com/subject/11808948/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
8,1,0,6850547,玩具总动员4 Toy Story 4‎ (2019),8.5,377180,4.5,['可播放'],False,美国 / 喜剧 / 动画 / 奇幻 / 反斗奇兵4(港) / 100分钟,乔什·库雷 / 汤姆·汉克斯 / 蒂姆·艾伦 / 安妮·波茨 / 托尼·海尔 / 科甘-迈克尔·凯 / 玛德琳·麦格劳 / 克里斯蒂娜·亨德里克斯 / 乔丹·皮尔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551222752.webp,https://movie.douban.com/subject/6850547/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
9,1,0,1291560,龙猫 となりのトトロ‎ (1988),9.2,1415036,4.5,[],False,日本 / 动画 / 奇幻 / 冒险 / 邻居托托罗 / 邻家的豆豆龙 / 86分钟,宫崎骏 / 日高范子 / 坂本千夏 / 糸井重里 / 岛本须美 / 北林谷荣 / 高木均 / 雨笠利幸 / 丸山裕子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.webp,https://movie.douban.com/subject/1291560/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
10,1,0,1301753,狮子王 The Lion King‎ (1994),9.1,964494,4.5,['可播放'],False,美国 / 动画 / 冒险 / 歌舞 / 狮子王3D / 89分钟,罗杰·阿勒斯 / 罗伯·明可夫 / 乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 / 詹姆斯·厄尔·琼斯 / 莫伊拉·凯利 / 内森·连恩 / 尼基塔·卡兰姆 / 埃林·萨贝拉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.webp,https://movie.douban.com/subject/1301753/,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__,search_subject
